author_id,similarity_degree,team_id
1,-1,1
2,2.0,1
3,3.0,1
4,-1,2
5,2.0,1
6,3.0,1
7,-1,3
8,2.0,3
9,2.0,2
10,3.0,1
11,3.0,1
12,3.0,3
13,-1,4
14,2.0,1
15,-1,5
16,2.0,4
17,3.0,1
18,-1,6
19,2.0,6
20,2.0,2
21,3.0,1
22,3.0,1
23,2.0,4
24,2.0,6
25,3.0,1
26,3.0,1
27,3.0,3
28,2.0,6
29,2.0,5
30,2.0,4
31,2.0,4
32,3.0,3
33,-1,7
34,2.0,6
35,2.0,6
36,2.0,7
37,2.0,6
38,2.0,6
39,1.0,4
40,2.0,2
41,2.0,2
42,1.0,2
43,2.0,6
44,2.0,1
45,1.0,2
46,2.0,4
47,2.0,6
48,1.0,4
49,1.0,7
50,1.0,2
51,2.0,3
52,3.0,1
53,3.0,1
54,2.0,6
55,3.0,1
56,2.0,3
57,2.0,5
58,1.0,2
59,2.0,6
60,2.0,4
61,2.0,1
